"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","EBS Optimized surcharge"
"C3 High-CPU Extra Large","c3.xlarge","7.5 GB","14 units","4 vCPUs","0","0","3.5 units","80 GB               (2 * 40 GB SSD)","No","No","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","60","Yes","No","Yes","Yes","HVM, PV","$0.239 hourly","$0.180 hourly","$0.376 hourly","$0.371 hourly","$0.542 hourly","$0.386 hourly","$1.066 hourly","$0.771 hourly","$0.02 hourly"
"R3 High-Memory Extra Large","r3.xlarge","30.5 GB","13 units","4 vCPUs","0","0","3.25 units","80 GB               SSD","Yes","Yes","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","60","Yes","No","Yes","Yes","HVM","$0.371 hourly","$0.272 hourly","$0.581 hourly","$0.456 hourly","$0.738 hourly","$0.519 hourly","$1.378 hourly","$1.213 hourly","$0.02 hourly"
"M4 Extra Large","m4.xlarge","16.0 GB","13 units","4 vCPUs","0","0","3.25 units","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.222 hourly","$0.151 hourly","$0.406 hourly","$0.335 hourly","$0.439 hourly","$0.346 hourly","$0.864 hourly","$0.788 hourly","$0.00 hourly"
"C4 High-CPU Extra Large","c4.xlarge","7.5 GB","16 units","4 vCPUs","0","0","4 units","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.226 hourly","$0.155 hourly","$0.410 hourly","$0.339 hourly","$0.624 hourly","$0.381 hourly","$1.51 hourly","$1.270 hourly","$0.00 hourly"
"General Purpose GPU Extra Large","p2.xlarge","61.0 GB","12 units","4 vCPUs","1","0","3 units","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.972 hourly","$0.669 hourly","$1.156 hourly","$0.853 hourly","unavailable","unavailable","unavailable","unavailable","0"
"R4 High-Memory Extra Large","r4.xlarge","30.5 GB","13.5 units","4 vCPUs","0","0","3.375 units","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","875.0 Mbps","109.0 MB/s","6000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.296 hourly","$0.187 hourly","$0.480 hourly","$0.371 hourly","$0.521 hourly","$0.423 hourly","$0.93 hourly","$0.832 hourly","0"
"I3 High I/O Extra Large","i3.xlarge","30.5 GB","13 units","4 vCPUs","0","0","3.25 units","950 GB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","850.0 Mbps","100.0 MB/s","6000.0 IOPS","60","Yes","Yes","Yes","Yes","Unknown","$0.344 hourly","$0.235 hourly","$0.528 hourly","$0.419 hourly","$0.567 hourly","$0.469 hourly","$0.976 hourly","$0.878 hourly","0"
"D2 Extra Large","d2.xlarge","30.5 GB","14 units","4 vCPUs","0","0","3.5 units","6000 GB               (3 * 2000 GB HDD)","Yes","N/A","64-bit","Moderate","750.0 Mbps","93.75 MB/s","6000.0 IOPS","60","Yes","No","Yes","Yes","HVM","$0.735 hourly","$0.447 hourly","$0.866 hourly","$0.517 hourly","unavailable","unavailable","unavailable","unavailable","$0.00 hourly"
"M1 General Purpose Extra Large","m1.xlarge","15.0 GB","8 units","4 vCPUs","0","0","2 units","1680 GB               (4 * 420 GB HDD)","No","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","No","No","No","No","PV","$0.379 hourly","$0.272 hourly","$0.598 hourly","$0.529 hourly","$0.83 hourly","$0.543 hourly","$1.362 hourly","$0.906 hourly","$0.05 hourly"
"C1 High-CPU Extra Large","c1.xlarge","7.0 GB","20 units","8 vCPUs","0","0","2.5 units","1680 GB               (4 * 420 GB HDD)","No","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","No","No","No","No","PV","$0.592 hourly","$0.444 hourly","$0.840 hourly","$0.815 hourly","$1.16 hourly","$0.793 hourly","$2.124 hourly","$1.537 hourly","$0.05 hourly"
